排名,排名变化,中文全名,英文全名,年龄,出生地中文,出生地英文,性别,出生日期,教育程度中文,教育程度英文,学校中文,学校英文,常居地中文,常居地英文,照片,公司中文全名,公司英文全名,公司总部地中文,公司总部地英文,所在行业中文,所在行业英文,组织结构,人民币财富值,财富值变化,美元财富值,年份
27,0,徐航,Xu Hang,62,中国-广东-广州,China-Guangdong-guangzhou,男,1962-01-01,本科,Undergraduate,清华,清华大学,中国-广东-深圳,China-Guangdong-Shenzhen,,迈瑞、鹏瑞,"Mindray, Parkland",广东深圳,Guangdong,医疗器械、房地产,"Health Tech, Real Estate",未知,950.0,-5%,13400.0,2024
27,-9,郑家纯,Henry Cheng Kar-shun,76,中国-香港,China-Hong Kong,男,1948-01-01,,,,,中国-香港,China-Hong Kong,,周大福,Chow Tai Fook,香港,Hong Kong,珠宝,Jewellery,家族,950.0,-27%,13400.0,2024
30,36,郭台铭,Terry Guo Tai-Ming,74,中国-台湾-新北,China-Taiwan-New North,男,1950-10-08,,,,,中国-台湾-台北,China-Taiwan-Taipei,,鸿海,Hon Hai,台湾台北,Taiwan,电子制造,Manufacturing,未知,930.0,55%,13100.0,2024
30,-3,吴光正,Peter Woo Kwong-ching,78,中国-上海,China-Shanghai,男,1946-01-01,,,,,中国-香港,China-Hong Kong,,会德丰,Wheelock,香港,Hong Kong,房地产,Estate Holding,家族,930.0,-7%,13100.0,2024
32,3,刘銮雄,Joseph Lau Luen Hung,73,中国-香港,China-Hong Kong,男,1951-01-01,,,,,中国-香港,China-Hong Kong,,华人置业,Chinese Estates,香港,Hong Kong,房地产,Estate Holding,家族,910.0,-1%,12800.0,2024
33,-8,黄世霖,Huang Shilin,57,中国-福建-宁德,China-Fujian-Ningde,男,1967-01-01,本科,Undergraduate,合肥工业大学,,中国-福建-宁德,China-Fujian-Ningde,,宁德时代,CATL,福建宁德,Fujian,锂电池,Battery Technology,未知,890.0,-23%,12500.0,2024
34,-14,王兴,Wang Xing,45,中国-福建-龙岩,China-Fujian-Longyan,男,1979-02-01,本科,Undergraduate,清华,清华大学,中国-北京,China-Beijing,,美团,Meituan,北京,Beijing,生活服务,Life Service,未知,885.0,-29%,12500.0,2024
35,5,庞康,Pang Kang,68,中国-广东-佛山,China-Guangdong-Foshan,男,1956-01-01,本科,Undergraduate,,,中国-广东-佛山,China-Guangdong-Foshan,,海天味业,Haitian,广东佛山,Guangdong,调味品,Food Flavorings,未知,870.0,9%,12300.0,2024
36,4,杜纪川,John Tu,83,中国-重庆,China-Chongqing,男,1941-01-01,,,,,美国-洛杉矶,United States-Los Angeles,,金士顿科技,Kingston Technology,美国洛杉矶,Los Angeles,半导体,Semiconductors,未知,850.0,6%,12000.0,2024
36,4,孙大卫,David Sun,73,中国-台湾-台北,China-Taiwan-Taipei,男,1951-10-22,,,,,美国-洛杉矶,United States-Los Angeles,,金士顿科技,Kingston Technology,美国洛杉矶,Los Angeles,半导体,Semiconductors,未知,850.0,6%,12000.0,2024
38,-2,林立,Lin Li,61,中国-广东-河源,China-Guangdong-Heyuan,男,1963-01-01,硕士,Master s,湖北工,湖北工业大学,中国-广东-深圳,China-Guangdong-Shenzhen,,立业,Liye,广东深圳,Guangdong,投资,Investments,未知,810.0,-10%,11400.0,2024
38,-7,宗馥莉,Zong Fuli,未知,,,女,1900-01-01,,,,,中国-浙江-杭州,China-Zhejiang-Hangzhou,,娃哈哈,Wahaha,浙江杭州,Zhejiang,饮料,Drinks,未知,810.0,-15%,11400.0,2024
40,-20,吕志和,Lui Che Woo,95,中国-香港,China-Hong Kong,男,1929-01-01,,,,,中国-香港,China-Hong Kong,,银河,Galaxy Entertainment,香港,Hong Kong,博彩,Gaming,家族,800.0,-36%,11300.0,2024
40,-13,严彬,Yan Bin,70,中国-河南-新乡,China -Henan-New Township,男,1954-01-01,,,,,中国-北京,China-Beijing,,华彬,Reignwood,北京,Beijing,饮料、地产,Food & Beverages,未知,800.0,-20%,11300.0,2024
42,69,钟慧娟,Zhong Huijuan,63,,,女,1961-01-01,,,,,中国-上海,China-Shanghai,,翰森,Hansoh,江苏连云港,Jiangsu,医药,Pharmaceuticals,未知,770.0,83%,10800.0,2024
43,1,李泽楷,Richard Li Tzar Kai,58,中国-香港,China-Hong Kong,男,1966-11-01,,,,,中国-香港,China-Hong Kong,,电讯盈科,PCCW,香港,Hong Kong,电信,Telecommunications,未知,750.0,-3%,10600.0,2024
44,11,蔡浩宇,Cai Haoyu,37,中国-山东-济南,China-Shandong-Jinan,男,1987-01-01,,,,,中国-上海,China-Shanghai,,米哈游,Mihoyo,上海,Shanghai,游戏,Online games,未知,730.0,9%,10300.0,2024
45,26,张聪渊,Zhang Congyuan,76,中国-台湾-桃园,China-Taiwan-Taoyuan,男,1948-01-01,,,,,中国-广东-中山,China-Guangdong-Zhongshan,,华利实业,Huali Industrial,广东中山,Guangdong,鞋业,Footwear,家族,720.0,24%,10100.0,2024
46,-15,刘汉元、管亚梅,Liu Hanyuan、Guan Yamei,60,中国-四川-眉山,China - Sichuan-Meishan,男,1964-01-01,,,,北大光华管理学院,中国-四川-成都,China - Sichuan-Chengdu,,通威,Tongwei,四川成都,Sichuan,新能源、农业,"New Energy, Agriculture",夫妇,700.0,-26%,9860.0,2024
47,12,林百里,Barry Lin Bai-Li,75,中国-上海,China-Shanghai,男,1949-01-01,,,,,中国-台湾-桃园,China-Taiwan-Taoyuan,,广达电脑,Quanta Computer,台湾桃园,Taiwan,消费电子产品,Consumer and Industry Electronics,家族,695.0,10%,9790.0,2024
48,-11,刘永好,Liu Yonghao,73,中国-四川-成都,China - Sichuan-Chengdu,男,1951-09-01,,,,四川工程职业技术学院,中国-四川-成都,China - Sichuan-Chengdu,,新希望,New Hope,四川成都,Sichuan,农业、化工、金融,"Agriculture, Finance",家族,690.0,-20%,9720.0,2024
49,37,蔡崇信,Joseph Tsai Chung-Hsin,60,中国-台湾,China-Taiwan,男,1964-01-01,,,,,中国-香港,China-Hong Kong,,阿里系,Alibaba,浙江杭州,Zhejiang,电子商务、金融科技,"E-Commerce, Fintech",未知,680.0,42%,9580.0,2024
50,0,陈东升,Chen Dongsheng,67,中国-湖北-荆门,China -Hubei - Jingmen,男,1957-12-01,博士,Doctorate,武大、武大,武汉大学,中国-北京,China-Beijing,,泰康,Taikang,北京,Beijing,保险,Insurance,家族,670.0,-4%,9440.0,2024
50,94,项光达,Xiang Guangda,66,中国-浙江-温州,China-Zhejiang-Wenzhou,男,1958-01-01,,,,,中国-浙江-温州,China-Zhejiang-Wenzhou,,青山控股,Tsingshan,浙江温州,Zhejiang,钢铁,Steel,未知,670.0,97%,9440.0,2024
50,9,于泳,Yu Yong,未知,,,男,1900-01-01,,,,,中国-上海,China-Shanghai,,鸿商产业,Cathay Fortune,上海浦东,Shanghai,钼矿,Molybdenum Minerals,未知,670.0,6%,9440.0,2024
50,35,张国华,Chang Kuo-Hua,69,中国-台湾-台北,China-Taiwan,男,1955-01-01,,,,,中国-台湾-台北,China-Taiwan,,长荣集团,Evergreen,台湾台北,Taiwan,物流、钢铁,"Logistics,Iron",家族,670.0,38%,9440.0,2024
54,-8,邝肖卿,Kwong Siu Hing,95,中国-香港,China-Hong Kong,女,1929-01-01,,,,,中国-香港,China-Hong Kong,,新鸿基,Sun Hung Kai,香港,Hong Kong,房地产,Estate Holding,未知,665.0,-8%,9370.0,2024
55,9,孙飘扬,Sun Piaoyang,66,中国-江苏-镇江,China-Jiangsu-Jiang,男,1958-04-01,硕士,Master s,中国药科、南大,南京大学,中国-上海,China-Shanghai,,恒瑞,Hengrui,江苏连云港,Jiangsu,医药,Pharmaceuticals,未知,650.0,7%,9150.0,2024
56,36,周群飞、郑俊龙,Zhou Qunfei、Zheng Junlong,54,中国-湖南-湘潭,China-Hunan-Xiangtan,女,1970-01-01,,,,,中国-湖南-长沙,China-Hunan-Changsha,,蓝思科技,Lens,湖南长沙,Hunan,电子器件制造,Manufacturing,夫妇,635.0,40%,8940.0,2024
57,19,王来胜、王雅媛,Wang Laisheng、Wang Yayuan,60,中国-广东-汕头,China-Guangdong-Shantou,男,1964-01-01,,,,,中国-广东-深圳,China-Guangdong-Shenzhen,,立讯精密,Luxshare Precision,广东深圳,Guangdong,消费电子,Consumer Electronics,父女,630.0,17%,8870.0,2024
57,9,徐浩宇,Xu Haoyu,52,中国-江苏-泰州,China-Jiangsu-Taizhou,男,1972-01-01,,,,,中国-江苏-泰州,China-Jiangsu-Taizhou,,扬子江药业,Yangtze River Pharmacy,江苏泰州,Jiangsu,医药,Pharmaceuticals,家族,630.0,5%,8870.0,2024
59,18,王来春,Wang Laichun,57,中国-广东-汕头,China-Guangdong-Shantou,女,1967-01-01,,,,清华大学深圳研究生院,中国-广东-深圳,China-Guangdong-Shenzhen,,立讯精密,Luxshare Precision,广东深圳,Guangdong,消费电子,Consumer Electronics,未知,620.0,17%,8730.0,2024
59,-1,朱保国,Zhu Baoguo,62,中国-河南-新乡,China - Henan - Xinxiang,男,1962-01-01,硕士,Master s,河南师范、中央党校,河南师范大学,中国-广东-深圳,China-Guangdong-Shenzhen,,健康元,Joint Care,广东深圳,Guangdong,医药,Pharmaceuticals,家族,620.0,-3%,8730.0,2024
61,-14,龚虹嘉、陈春梅,Gong Hongjia、Chen Chunmei,59,,,男,1965-01-01,本科,Undergraduate,华中科技,华中科技大学,中国-香港,China-Hong Kong,,海康威视,Hikvision,浙江杭州,Zhejiang,视频监控产品,Video Surveillance Products,夫妇,615.0,-13%,8660.0,2024
62,17,岑均达,Cen Junda,未知,,,男,1900-01-01,,,,,中国-江苏-连云港,China-Jiangsu-Lianyun Port,,恒瑞、翰森,"Hengrui, Hansoh",江苏连云港,Jiangsu,医药,Pharmaceuticals,未知,610.0,22%,8590.0,2024
63,-16,梁稳根、梁在中,Liang Wengen、Liang Zaizhong,68,中国-湖南-娄底,China-Hunan-Yandi,男,1956-12-01,本科,Undergraduate,中南,中南大学,中国-湖南-长沙,China-Hunan-Changsha,,三一,Sany,北京,Beijing,重型机械,Heavy Machinery,父子,600.0,-15%,8450.0,2024
63,12,王玉锁、赵宝菊,Wang Yusuo、Zhao Baoju,60,中国-河北-廊坊,China-Hebei-Langfang,男,1964-03-01,硕士,Master s,人大、天津财经,天津财经大学,中国-河北-廊坊,China-Hebei-Langfang,,新奥,ENN,河北廊坊,Hebei,天然气、能源化工,"Gas, Energy",夫妇,600.0,9%,8450.0,2024
65,12,陈天桥、雒芊芊,Chen Tianqiao、Luo Qianqian,51,中国-浙江-绍兴,China-Zhejiang-Shaoxing,男,1973-05-01,本科,Undergraduate,复旦,复旦大学,新加坡,China-Singapore-Po,,盛大,Shanda,上海浦东,Shanghai,投资,Investments,夫妇,590.0,11%,8310.0,2024
65,-18,汪俊林,Wang Junlin,62,中国-四川-眉山,China - Sichuan - Meishan,男,1962-10-01,本科,Undergraduate,泸州医,泸州医学院（西南医科大学）,中国-四川-成都,China - Sichuan-Chengdu,,郎酒,Langjiu,四川成都,Sichuan,白酒,Liquor,未知,590.0,-17%,8310.0,2024
67,6,杜双华,Du Shuanghua,59,中国-河北-衡水,China-Hebei-Hengshui,男,1965-11-01,,,,,中国-山东-日照,China -Shandong - Rizhao,,日照钢铁,Rizhao Iron and Steel,山东日照,Shandong,钢铁,Steel,未知,575.0,1%,8100.0,2024
68,3,陈丽华,Chen Lihua,83,中国-北京,China-Beijing,女,1941-01-01,博士,Doctorate,美国佐治亚州萨凡那艺术设计学院荣誉博士,美国佐治亚州萨凡那艺术设计学院,中国-北京,China-Beijing,,富华,Fu Wah,北京,Beijing,房地产、紫檀博物馆,"Real Estate, Red Sandalwood Museum",未知,550.0,-5%,7750.0,2024
68,-15,李水荣,Li Shuirong,68,中国-浙江,China-Zhejiang,男,1956-01-01,,,,,中国-浙江-杭州,China-Zhejiang-Hangzhou,,荣盛控股,RongSheng,浙江杭州,Zhejiang,化纤,Chemical Fibres,未知,550.0,-19%,7750.0,2024
70,-25,张勇、舒萍,Zhang Yong、Shu Ping,53,中国-四川-成都,China - Sichuan-Chengdu,男,1971-01-01,,,,,新加坡,Singapore,,海底捞,HaiDiLao,北京,Beijing,餐饮,Restaurants,夫妇,540.0,-28%,7610.0,2024
71,-32,李彦宏、马东敏,Li Yanhong、Ma Dongmin,56,中国-山西-阳泉,China -Shanxi - Yangquan,男,1968-11-01,硕士,Master s,北大、布法罗纽约州立,布法罗纽约州立大学,中国-北京,China-Beijing,,百度,Baidu,北京,Beijing,网络信息服务,Internet Information Services,夫妇,525.0,-36%,7390.0,2024
72,14,曹仁贤、苏蕾,Cao Renxian、Su Lei,56,中国-浙江-杭州,China-Zhejiang-Hangzhou,男,1968-07-01,硕士,Master s,,,中国-安徽-合肥,China-Anhui-Hefei,,阳光电源,Sungrow Power Supply,安徽合肥,Anhui,光伏设备,Electric Equipment and Machinery,夫妇,520.0,8%,7320.0,2024
72,-6,刘强东、章泽天,Liu Qiangdong、Zhang Zetian,50,中国-江苏-宿迁,China-Jiangsu-Cebu,男,1974-02-01,本科,Undergraduate,人大,中国人民大学,中国-北京,China-Beijing,,京东,JD,北京,Beijing,电子商务、金融,"E-Commerce, Financial Services",夫妇,520.0,-13%,7320.0,2024
74,34,林木勤、林煜鹏,Lin Muqin、Lin Yupeng,60,中国-广东-深圳,China-Guangdong-Shenzhen,男,1964-01-01,,,,,中国-广东-深圳,China-Guangdong-Shenzhen,,东鹏饮料,Eastroc Beverage,广东深圳,Guangdong,食品饮料,Food & Beverages,父子,510.0,17%,7180.0,2024
74,114,朱义,Zhu Yi,61,,,男,1963-01-01,,,,,中国-成都,China-Chengdu,,百利天恒,Biokin Pharmaceutical,四川成都,Sichuan,医药,Pharmaceuticals,未知,510.0,89%,7180.0,2024
76,-12,汪立平,Wang Liping,58,中国-江苏-无锡,China-Jiangsu-Wuxi,男,1966-02-01,,,,,中国-江苏-常州,China-Jiangsu-Changzhou,,恒立液压,Hengli Hydraulic,江苏常州,Jiangsu,高压油缸,Oil Cylinder,家族,500.0,-18%,7040.0,2024
76,3,许仰天,Xu Yangtian,40,山东-淄博,China-Shandong,男,1984-01-01,,,青岛科技大学-本科,,中国-广东-广州,China-Guangdong-Guangzhou,,希音,Shein,广东广州,Guangdong,电商,E-Commerce,未知,500.0,0%,7040.0,2024
76,13,严昕,Yan Xin,41,中国-江苏-淮安,China-Jiangsu-Huai'an,女,1983-01-01,,,,,中国-江苏-淮安,China-Jiangsu-Huai'an,,苏商,Susun,上海,Shanghai,基础设施建设,Roads,未知,500.0,6%,7040.0,2024
79,61,林斌,Lin Bin,56,,,男,1968-01-01,硕士,Master s,中山大学、Drexel Universit,美国费城Drexel大学,中国-北京,China-Beijing,,小米,Xiaomi,北京,Beijing,智能硬件与技术,IoT,未知,490.0,42%,6900.0,2024
79,-13,罗立国,Luo Liguo,68,中国-浙江-宁波,China-Zhejiang-Ningbo,男,1956-03-01,,,,,中国-浙江-宁波,China-Zhejiang-Ningbo,,合盛,Hoshine,浙江宁波,Zhejiang,硅材料,Silicon,家族,490.0,-18%,6900.0,2024
79,-22,吴亚军,Wu Yajun,60,中国-重庆,China-Chongqing,女,1964-02-01,本科,Undergraduate,西北工业,西北工业大学,中国-北京,China-Beijing,,龙湖,Longfor,北京,Beijing,房地产,Real Estate,家族,490.0,-26%,6900.0,2024
82,-19,裴振华、容建芬,Pei Zhenhua、Rong Jianfen,未知,,,男,1900-01-01,,,,,中国-江苏-苏州,China-Jiangsu-Suzhou,,天华超净,Canmax,江苏苏州,Jiangsu,超净产品,Industrial Products,夫妇,480.0,-23%,6760.0,2024
82,9,许世辉,Xu Shihui,67,中国-福建-泉州,China-Fujian-Quanzhou,男,1957-01-01,,,,,中国-福建-泉州,China-Fujian-Quanzhou,,达利食品,Dali Foods,福建泉州,Fujian,食品,Food,家族,480.0,4%,6760.0,2024
84,56,蔡明兴,Richard Tsai Ming-Hsing,67,中国-台湾,China-Taiwan,男,1957-06-02,,,,,中国-台湾-台北,China-Taiwan-Taipei,,富邦,Fubon,台湾台北,Taiwan,金融服务,Financial Services,家族,460.0,33%,6480.0,2024
84,-44,陈邦,Chen Bang,59,中国-湖南-长沙,China-Hunan-Changsha,男,1965-09-01,硕士,Master s,,,中国-湖南-长沙,China-Hunan-Changsha,,爱尔眼科,Aier Ophthalmology,湖南长沙,Hunan,医疗服务,Medical Services,未知,460.0,-43%,6480.0,2024
86,-2,黄楚龙,Huang Chulong,65,中国-广东-揭阳,China-Guangdong-Jieyang,男,1959-01-01,,,,,中国-广东-深圳,China-Guangdong-Shenzhen,,星河,Galaxy,广东深圳,Guangdong,房地产、投资,"Real Estate, Investments",家族,450.0,-8%,6340.0,2024
86,-31,李华,Li Hua,58,中国-四川,China - Sichuan,男,1966-01-01,本科,Undergraduate,华南理工,华南理工大学,中国-广东-深圳,China-Guangdong-Shenzhen,,卓越,Excellence,广东深圳,Guangdong,房地产,Real Estate,未知,450.0,-33%,6340.0,2024
88,67,蔡明忠,Daniel Tsai Ming-Chung,68,中国-台湾,China-Taiwan,男,1956-04-25,,,,,中国-台湾-台北,China-Taiwan-Taipei,,富邦,Fubon,台湾台北,Taiwan,金融服务,Financial Services,家族,440.0,38%,6200.0,2024
88,42,谢青,Xie Qing,未知,中国-北京,China-Beijing,男,1900-01-01,硕士,MSc,斯坦福大学,,美国-旧金山,United States-San Francisco,,飞塔,Fortinet,美国旧金山,San Francisco,网路安全,Network Security,未知,440.0,24%,6200.0,2024
90,2,李天颖,Wendy Lee,未知,中国-香港,China-Hong Kong,男,1900-01-01,,,,,中国-香港,China-Hong Kong,,新鸿基,Sun Hung Kai,香港,Hong Kong,房地产,Estate Holding,家族,435.0,-4%,6130.0,2024
90,23,米高·嘉道理,Michael Kadoorie,83,中国-香港,China-Hong Kong,男,1941-01-01,,,,,中国-香港,China-Hong Kong,,中电,CLP,香港,Hong Kong,能源,Energy,家族,435.0,6%,6130.0,2024
92,5,陈贤哲,Chen Shyan Tser,71,中国-台湾,,男,1953-01-01,,,,,中国-台湾-台北,Taiwan,,北极星,Polaris,台湾台北,Taiwan,投资,Investments,家族,430.0,-4%,6060.0,2024
92,38,张虔生,Jason Chang CS,80,中国-台湾,China-Taiwan,男,1944-05-01,,,,,中国-台湾-高雄,China-Taiwan-Kaoxiong,,日月光,ASE,台湾高雄,Taiwan,工业品、房地产,"Industrial Products, Real Estate",家族,430.0,21%,6060.0,2024
94,8,虞仁荣,Yu Renrong,58,,,男,1966-01-01,本科,Undergraduate,清华,,中国-上海,China-Shanghai,,韦尔股份,Will,上海浦东,Shanghai,半导体,Semiconductors,未知,425.0,-4%,5990.0,2024
95,55,蔡宏图,Tsai Hong-Tu,72,中国-台湾,China-Taiwan,男,1952-08-01,,,,,中国-台湾-台北,China-Taiwan-Taipei,,霖园,Lin Yuan,台湾台北,Taiwan,金融服务,Financial Services,家族,420.0,29%,5920.0,2024
95,-9,杨惠妍,Yang Huiyan,43,中国-广东-佛山,China-Guangdong-Foshan,女,1981-01-01,本科,Undergraduate,俄亥俄州立,俄亥俄州立大学,中国-广东-佛山,China-Guangdong-Foshan,,碧桂园,Country Garden,广东佛山,Guangdong,投资、房地产、教育,"Investments, Real Estate, Education",家族,420.0,-13%,5920.0,2024
